#    L    TT             EE             BB             TE          
   340    0.26892E+04    0.15953E+02    0.29170E-01    0.10019E+03
   341    0.26612E+04    0.16116E+02    0.29266E-01    0.99085E+02
   342    0.26335E+04    0.16280E+02    0.29362E-01    0.97950E+02
   343    0.26062E+04    0.16440E+02    0.29457E-01    0.96787E+02
   344    0.25792E+04    0.16598E+02    0.29552E-01    0.95594E+02
   345    0.25525E+04    0.16755E+02    0.29647E-01    0.94372E+02
   346    0.25261E+04    0.16911E+02    0.29741E-01    0.93129E+02
   347    0.25000E+04    0.17063E+02    0.29835E-01    0.91849E+02
   348    0.24742E+04    0.17214E+02    0.29929E-01    0.90540E+02
   349    0.24488E+04    0.17363E+02    0.30022E-01    0.89202E+02
   350    0.24237E+04    0.17510E+02    0.30116E-01    0.87842E+02
   351    0.23991E+04    0.17654E+02    0.30208E-01    0.86453E+02
   352    0.23747E+04    0.17797E+02    0.30301E-01    0.85035E+02
   353    0.23506E+04    0.17937E+02    0.30393E-01    0.83603E+02
   354    0.23269E+04    0.18075E+02    0.30485E-01    0.82135E+02
   355    0.23037E+04    0.18210E+02    0.30577E-01    0.80644E+02
   356    0.22807E+04    0.18343E+02    0.30669E-01    0.79139E+02
   357    0.22582E+04    0.18474E+02    0.30761E-01    0.77605E+02
   358    0.22361E+04    0.18600E+02    0.30853E-01    0.76057E+02
   359    0.22142E+04    0.18725E+02    0.30944E-01    0.74480E+02
   360    0.21929E+04    0.18848E+02    0.31035E-01    0.72884E+02
   361    0.21718E+04    0.18967E+02    0.31127E-01    0.71266E+02
   362    0.21512E+04    0.19084E+02    0.31218E-01    0.69628E+02
   363    0.21310E+04    0.19198E+02    0.31309E-01    0.67973E+02
   364    0.21112E+04    0.19308E+02    0.31401E-01    0.66297E+02
   365    0.20918E+04    0.19416E+02    0.31492E-01    0.64606E+02
   366    0.20728E+04    0.19521E+02    0.31583E-01    0.62896E+02
   367    0.20542E+04    0.19622E+02    0.31675E-01    0.61170E+02
   368    0.20360E+04    0.19721E+02    0.31766E-01    0.59430E+02
   369    0.20183E+04    0.19816E+02    0.31858E-01    0.57674E+02
   370    0.20010E+04    0.19908E+02    0.31949E-01    0.55905E+02
   371    0.19840E+04    0.19997E+02    0.32041E-01    0.54122E+02
   372    0.19675E+04    0.20083E+02    0.32133E-01    0.52327E+02
   373    0.19514E+04    0.20164E+02    0.32225E-01    0.50519E+02
   374    0.19358E+04    0.20244E+02    0.32317E-01    0.48700E+02
   375    0.19205E+04    0.20319E+02    0.32409E-01    0.46872E+02
   376    0.19057E+04    0.20392E+02    0.32502E-01    0.45033E+02
   377    0.18914E+04    0.20460E+02    0.32595E-01    0.43187E+02
   378    0.18774E+04    0.20525E+02    0.32688E-01    0.41331E+02
   379    0.18639E+04    0.20586E+02    0.32781E-01    0.39469E+02
   380    0.18509E+04    0.20645E+02    0.32875E-01    0.37599E+02
   381    0.18382E+04    0.20698E+02    0.32969E-01    0.35723E+02
   382    0.18259E+04    0.20749E+02    0.33063E-01    0.33844E+02
   383    0.18141E+04    0.20795E+02    0.33158E-01    0.31958E+02
   384    0.18029E+04    0.20838E+02    0.33253E-01    0.30071E+02
   385    0.17919E+04    0.20878E+02    0.33348E-01    0.28179E+02
   386    0.17814E+04    0.20914E+02    0.33443E-01    0.26287E+02
   387    0.17713E+04    0.20945E+02    0.33539E-01    0.24392E+02
   388    0.17616E+04    0.20973E+02    0.33636E-01    0.22498E+02
   389    0.17524E+04    0.20995E+02    0.33733E-01    0.20604E+02
   390    0.17436E+04    0.21017E+02    0.33830E-01    0.18711E+02
   391    0.17352E+04    0.21033E+02    0.33927E-01    0.16820E+02
   392    0.17272E+04    0.21048E+02    0.34025E-01    0.14932E+02
   393    0.17198E+04    0.21057E+02    0.34124E-01    0.13047E+02
