#    L    TT             EE             BB             TE             PP             TP             EP          
   198    0.54342E+04    0.63627E+00    0.00000E+00   -0.16271E+02    0.51353E-07    0.14672E-03   -0.35793E-06
   199    0.54472E+04    0.63455E+00    0.00000E+00   -0.15077E+02    0.51078E-07    0.14551E-03   -0.34230E-06
   200    0.54598E+04    0.63360E+00    0.00000E+00   -0.13861E+02    0.50805E-07    0.14431E-03   -0.32671E-06
   201    0.54717E+04    0.63348E+00    0.00000E+00   -0.12624E+02    0.50534E-07    0.14312E-03   -0.31120E-06
   202    0.54831E+04    0.63418E+00    0.00000E+00   -0.11366E+02    0.50266E-07    0.14194E-03   -0.29576E-06
   203    0.54940E+04    0.63578E+00    0.00000E+00   -0.10087E+02    0.50000E-07    0.14076E-03   -0.28040E-06
   204    0.55042E+04    0.63830E+00    0.00000E+00   -0.87896E+01    0.49736E-07    0.13960E-03   -0.26512E-06
   205    0.55138E+04    0.64176E+00    0.00000E+00   -0.74721E+01    0.49475E-07    0.13845E-03   -0.24991E-06
   206    0.55229E+04    0.64623E+00    0.00000E+00   -0.61355E+01    0.49215E-07    0.13730E-03   -0.23478E-06
   207    0.55314E+04    0.65170E+00    0.00000E+00   -0.47802E+01    0.48958E-07    0.13616E-03   -0.21973E-06
   208    0.55391E+04    0.65824E+00    0.00000E+00   -0.34067E+01    0.48703E-07    0.13503E-03   -0.20475E-06
   209    0.55463E+04    0.66587E+00    0.00000E+00   -0.20155E+01    0.48449E-07    0.13391E-03   -0.18985E-06
   210    0.55529E+04    0.67464E+00    0.00000E+00   -0.60722E+00    0.48198E-07    0.13280E-03   -0.17502E-06
   211    0.55589E+04    0.68457E+00    0.00000E+00    0.81791E+00    0.47949E-07    0.13170E-03   -0.16027E-06
   212    0.55641E+04    0.69570E+00    0.00000E+00    0.22590E+01    0.47702E-07    0.13060E-03   -0.14559E-06
   213    0.55689E+04    0.70806E+00    0.00000E+00    0.37161E+01    0.47457E-07    0.12952E-03   -0.13099E-06
   214    0.55730E+04    0.72166E+00    0.00000E+00    0.51881E+01    0.47214E-07    0.12844E-03   -0.11647E-06
   215    0.55764E+04    0.73668E+00    0.00000E+00    0.66741E+01    0.46973E-07    0.12737E-03   -0.10202E-06
   216    0.55793E+04    0.75294E+00    0.00000E+00    0.81747E+01    0.46734E-07    0.12631E-03   -0.87639E-07
   217    0.55816E+04    0.77059E+00    0.00000E+00    0.96880E+01    0.46497E-07    0.12526E-03   -0.73336E-07
   218    0.55832E+04    0.78962E+00    0.00000E+00    0.11214E+02    0.46262E-07    0.12421E-03   -0.59108E-07
   219    0.55843E+04    0.81005E+00    0.00000E+00    0.12754E+02    0.46029E-07    0.12318E-03   -0.44953E-07
   220    0.55848E+04    0.83202E+00    0.00000E+00    0.14304E+02    0.45798E-07    0.12215E-03   -0.30872E-07
   221    0.55847E+04    0.85544E+00    0.00000E+00    0.15865E+02    0.45568E-07    0.12113E-03   -0.16865E-07
   222    0.55840E+04    0.88048E+00    0.00000E+00    0.17436E+02    0.45341E-07    0.12012E-03   -0.29313E-08
   223    0.55825E+04    0.90705E+00    0.00000E+00    0.19018E+02    0.45115E-07    0.11911E-03    0.10929E-07
   224    0.55806E+04    0.93516E+00    0.00000E+00    0.20607E+02    0.44891E-07    0.11812E-03    0.24717E-07
   225    0.55781E+04    0.96494E+00    0.00000E+00    0.22207E+02    0.44669E-07    0.11713E-03    0.38432E-07
   226    0.55749E+04    0.99641E+00    0.00000E+00    0.23813E+02    0.44448E-07    0.11615E-03    0.52075E-07
   227    0.55711E+04    0.10296E+01    0.00000E+00    0.25427E+02    0.44229E-07    0.11518E-03    0.65645E-07
   228    0.55668E+04    0.10644E+01    0.00000E+00    0.27047E+02    0.44012E-07    0.11421E-03    0.79143E-07
