#    L    TT             EE             TE             PP             TP          
   201    0.54717E+04    0.63348E+00   -0.12624E+02    0.23353E+07    0.24327E+04
   202    0.54831E+04    0.63418E+00   -0.11366E+02    0.23230E+07    0.24127E+04
   203    0.54940E+04    0.63578E+00   -0.10087E+02    0.23109E+07    0.23929E+04
   204    0.55042E+04    0.63830E+00   -0.87896E+01    0.22988E+07    0.23732E+04
   205    0.55138E+04    0.64176E+00   -0.74721E+01    0.22868E+07    0.23536E+04
   206    0.55229E+04    0.64623E+00   -0.61355E+01    0.22749E+07    0.23342E+04
   207    0.55314E+04    0.65170E+00   -0.47802E+01    0.22631E+07    0.23149E+04
   208    0.55391E+04    0.65824E+00   -0.34067E+01    0.22514E+07    0.22958E+04
   209    0.55463E+04    0.66587E+00   -0.20155E+01    0.22398E+07    0.22769E+04
   210    0.55529E+04    0.67464E+00   -0.60722E+00    0.22283E+07    0.22580E+04
   211    0.55589E+04    0.68457E+00    0.81791E+00    0.22169E+07    0.22394E+04
   212    0.55641E+04    0.69570E+00    0.22590E+01    0.22056E+07    0.22208E+04
   213    0.55689E+04    0.70806E+00    0.37161E+01    0.21944E+07    0.22024E+04
   214    0.55730E+04    0.72166E+00    0.51881E+01    0.21832E+07    0.21842E+04
   215    0.55764E+04    0.73668E+00    0.66741E+01    0.21722E+07    0.21661E+04
   216    0.55793E+04    0.75294E+00    0.81747E+01    0.21612E+07    0.21481E+04
   217    0.55816E+04    0.77059E+00    0.96880E+01    0.21503E+07    0.21303E+04
   218    0.55832E+04    0.78962E+00    0.11214E+02    0.21396E+07    0.21126E+04
   219    0.55843E+04    0.81005E+00    0.12754E+02    0.21289E+07    0.20950E+04
   220    0.55848E+04    0.83202E+00    0.14304E+02    0.21182E+07    0.20776E+04
   221    0.55847E+04    0.85544E+00    0.15865E+02    0.21077E+07    0.20603E+04
   222    0.55840E+04    0.88048E+00    0.17436E+02    0.20973E+07    0.20432E+04
   223    0.55825E+04    0.90705E+00    0.19018E+02    0.20869E+07    0.20262E+04
   224    0.55806E+04    0.93516E+00    0.20607E+02    0.20766E+07    0.20093E+04
   225    0.55781E+04    0.96494E+00    0.22207E+02    0.20664E+07    0.19925E+04
   226    0.55749E+04    0.99641E+00    0.23813E+02    0.20563E+07    0.19759E+04
   227    0.55711E+04    0.10296E+01    0.25427E+02    0.20463E+07    0.19594E+04
   228    0.55668E+04    0.10644E+01    0.27047E+02    0.20363E+07    0.19430E+04
   229    0.55619E+04    0.11010E+01    0.28673E+02    0.20264E+07    0.19268E+04
   230    0.55563E+04    0.11393E+01    0.30304E+02    0.20166E+07    0.19107E+04
   231    0.55501E+04    0.11794E+01    0.31940E+02    0.20069E+07    0.18947E+04
   232    0.55433E+04    0.12213E+01    0.33580E+02    0.19973E+07    0.18789E+04
   233    0.55360E+04    0.12652E+01    0.35222E+02    0.19877E+07    0.18631E+04
   234    0.55279E+04    0.13109E+01    0.36867E+02    0.19782E+07    0.18475E+04
   235    0.55193E+04    0.13585E+01    0.38513E+02    0.19688E+07    0.18321E+04
   236    0.55100E+04    0.14080E+01    0.40161E+02    0.19594E+07    0.18167E+04
   237    0.55001E+04    0.14594E+01    0.41809E+02    0.19501E+07    0.18015E+04
   238    0.54897E+04    0.15129E+01    0.43456E+02    0.19409E+07    0.17863E+04
   239    0.54787E+04    0.15683E+01    0.45103E+02    0.19317E+07    0.17713E+04
   240    0.54670E+04    0.16257E+01    0.46746E+02    0.19227E+07    0.17565E+04
   241    0.54548E+04    0.16851E+01    0.48388E+02    0.19137E+07    0.17417E+04
   242    0.54420E+04    0.17465E+01    0.50026E+02    0.19047E+07    0.17271E+04
   243    0.54287E+04    0.18101E+01    0.51660E+02    0.18958E+07    0.17125E+04
   244    0.54147E+04    0.18757E+01    0.53290E+02    0.18870E+07    0.16981E+04
   245    0.54002E+04    0.19433E+01    0.54914E+02    0.18783E+07    0.16838E+04
   246    0.53852E+04    0.20131E+01    0.56532E+02    0.18696E+07    0.16696E+04
   247    0.53696E+04    0.20849E+01    0.58143E+02    0.18610E+07    0.16556E+04
   248    0.53534E+04    0.21592E+01    0.59747E+02    0.18524E+07    0.16416E+04
   249    0.53368E+04    0.22353E+01    0.61342E+02    0.18439E+07    0.16277E+04
   250    0.53196E+04    0.23137E+01    0.62928E+02    0.18355E+07    0.16140E+04
   251    0.53019E+04    0.23942E+01    0.64505E+02    0.18271E+07    0.16004E+04
   252    0.52836E+04    0.24769E+01    0.66072E+02    0.18188E+07    0.15869E+04
   253    0.52650E+04    0.25616E+01    0.67626E+02    0.18105E+07    0.15734E+04
   254    0.52458E+04    0.26487E+01    0.69170E+02    0.18023E+07    0.15601E+04
   255    0.52260E+04    0.27378E+01    0.70701E+02    0.17942E+07    0.15469E+04
   256    0.52059E+04    0.28293E+01    0.72220E+02    0.17861E+07    0.15338E+04
   257    0.51852E+04    0.29228E+01    0.73720E+02    0.17781E+07    0.15208E+04
   258    0.51641E+04    0.30186E+01    0.75212E+02    0.17701E+07    0.15079E+04
   259    0.51425E+04    0.31166E+01    0.76683E+02    0.17622E+07    0.14952E+04
   260    0.51205E+04    0.32167E+01    0.78146E+02    0.17543E+07    0.14825E+04
   261    0.50981E+04    0.33190E+01    0.79579E+02    0.17465E+07    0.14699E+04
   262    0.50751E+04    0.34236E+01    0.81005E+02    0.17387E+07    0.14574E+04
   263    0.50519E+04    0.35303E+01    0.82417E+02    0.17310E+07    0.14450E+04
   264    0.50282E+04    0.36393E+01    0.83806E+02    0.17234E+07    0.14327E+04
   265    0.50039E+04    0.37503E+01    0.85166E+02    0.17158E+07    0.14205E+04
   266    0.49793E+04    0.38636E+01    0.86519E+02    0.17083E+07    0.14084E+04
   267    0.49543E+04    0.39789E+01    0.87843E+02    0.17008E+07    0.13964E+04
   268    0.49288E+04    0.40966E+01    0.89151E+02    0.16933E+07    0.13845E+04
   269    0.49028E+04    0.42163E+01    0.90438E+02    0.16859E+07    0.13726E+04
   270    0.48767E+04    0.43381E+01    0.91703E+02    0.16786E+07    0.13609E+04
   271    0.48500E+04    0.44620E+01    0.92946E+02    0.16713E+07    0.13492E+04
   272    0.48232E+04    0.45881E+01    0.94159E+02    0.16641E+07    0.13377E+04
   273    0.47959E+04    0.47161E+01    0.95358E+02    0.16569E+07    0.13262E+04
   274    0.47683E+04    0.48464E+01    0.96520E+02    0.16498E+07    0.13148E+04
   275    0.47403E+04    0.49785E+01    0.97668E+02    0.16427E+07    0.13036E+04
   276    0.47121E+04    0.51126E+01    0.98779E+02    0.16356E+07    0.12923E+04
   277    0.46835E+04    0.52488E+01    0.99875E+02    0.16286E+07    0.12812E+04
   278    0.46546E+04    0.53869E+01    0.10093E+03    0.16217E+07    0.12702E+04
   279    0.46254E+04    0.55270E+01    0.10196E+03    0.16148E+07    0.12592E+04
   280    0.45960E+04    0.56689E+01    0.10298E+03    0.16079E+07    0.12483E+04
   281    0.45664E+04    0.58129E+01    0.10396E+03    0.16011E+07    0.12376E+04
   282    0.45363E+04    0.59585E+01    0.10491E+03    0.15943E+07    0.12268E+04
   283    0.45061E+04    0.61060E+01    0.10583E+03    0.15876E+07    0.12162E+04
   284    0.44757E+04    0.62553E+01    0.10672E+03    0.15809E+07    0.12056E+04
   285    0.44451E+04    0.64065E+01    0.10758E+03    0.15743E+07    0.11952E+04
   286    0.44142E+04    0.65593E+01    0.10841E+03    0.15677E+07    0.11848E+04
   287    0.43830E+04    0.67138E+01    0.10921E+03    0.15612E+07    0.11744E+04
   288    0.43517E+04    0.68700E+01    0.10998E+03    0.15547E+07    0.11642E+04
   289    0.43202E+04    0.70278E+01    0.11072E+03    0.15482E+07    0.11540E+04
   290    0.42885E+04    0.71871E+01    0.11143E+03    0.15418E+07    0.11439E+04
