#    L    TT             EE             TE
   436    0.17318E+04    0.18132E+02   -0.55801E+02
   437    0.17391E+04    0.17991E+02   -0.56893E+02
   438    0.17465E+04    0.17847E+02   -0.57954E+02
   439    0.17543E+04    0.17701E+02   -0.58984E+02
   440    0.17622E+04    0.17553E+02   -0.59982E+02
   441    0.17703E+04    0.17402E+02   -0.60950E+02
   442    0.17785E+04    0.17249E+02   -0.61884E+02
   443    0.17870E+04    0.17095E+02   -0.62787E+02
   444    0.17957E+04    0.16939E+02   -0.63656E+02
   445    0.18045E+04    0.16779E+02   -0.64492E+02
   446    0.18134E+04    0.16620E+02   -0.65294E+02
   447    0.18225E+04    0.16459E+02   -0.66064E+02
   448    0.18317E+04    0.16294E+02   -0.66801E+02
   449    0.18411E+04    0.16129E+02   -0.67503E+02
   450    0.18507E+04    0.15964E+02   -0.68172E+02
   451    0.18604E+04    0.15796E+02   -0.68806E+02
   452    0.18701E+04    0.15627E+02   -0.69407E+02
   453    0.18801E+04    0.15457E+02   -0.69973E+02
   454    0.18900E+04    0.15286E+02   -0.70506E+02
   455    0.19001E+04    0.15114E+02   -0.71005E+02
   456    0.19104E+04    0.14940E+02   -0.71464E+02
   457    0.19206E+04    0.14767E+02   -0.71897E+02
   458    0.19310E+04    0.14592E+02   -0.72285E+02
   459    0.19414E+04    0.14418E+02   -0.72644E+02
   460    0.19519E+04    0.14242E+02   -0.72968E+02
   461    0.19625E+04    0.14066E+02   -0.73257E+02
   462    0.19731E+04    0.13889E+02   -0.73506E+02
   463    0.19837E+04    0.13713E+02   -0.73733E+02
   464    0.19943E+04    0.13536E+02   -0.73909E+02
   465    0.20050E+04    0.13360E+02   -0.74062E+02
   466    0.20157E+04    0.13183E+02   -0.74172E+02
   467    0.20265E+04    0.13006E+02   -0.74252E+02
   468    0.20372E+04    0.12830E+02   -0.74295E+02
   469    0.20479E+04    0.12654E+02   -0.74309E+02
   470    0.20587E+04    0.12478E+02   -0.74286E+02
   471    0.20693E+04    0.12304E+02   -0.74226E+02
   472    0.20801E+04    0.12130E+02   -0.74137E+02
   473    0.20907E+04    0.11957E+02   -0.74011E+02
   474    0.21014E+04    0.11785E+02   -0.73855E+02
   475    0.21121E+04    0.11613E+02   -0.73663E+02
   476    0.21227E+04    0.11443E+02   -0.73435E+02
   477    0.21331E+04    0.11273E+02   -0.73183E+02
   478    0.21436E+04    0.11104E+02   -0.72887E+02
   479    0.21541E+04    0.10938E+02   -0.72571E+02
   480    0.21644E+04    0.10772E+02   -0.72217E+02
   481    0.21747E+04    0.10608E+02   -0.71829E+02
   482    0.21850E+04    0.10447E+02   -0.71411E+02
   483    0.21950E+04    0.10286E+02   -0.70967E+02
   484    0.22050E+04    0.10128E+02   -0.70490E+02
   485    0.22150E+04    0.99705E+01   -0.69981E+02
   486    0.22249E+04    0.98163E+01   -0.69444E+02
   487    0.22346E+04    0.96641E+01   -0.68878E+02
   488    0.22442E+04    0.95133E+01   -0.68282E+02
   489    0.22537E+04    0.93654E+01   -0.67657E+02
   490    0.22631E+04    0.92202E+01   -0.67004E+02
   491    0.22723E+04    0.90771E+01   -0.66324E+02
   492    0.22814E+04    0.89369E+01   -0.65617E+02
   493    0.22905E+04    0.87979E+01   -0.64882E+02
   494    0.22993E+04    0.86633E+01   -0.64123E+02
   495    0.23080E+04    0.85307E+01   -0.63337E+02
   496    0.23165E+04    0.84017E+01   -0.62526E+02
   497    0.23249E+04    0.82754E+01   -0.61690E+02
   498    0.23331E+04    0.81513E+01   -0.60831E+02
   499    0.23413E+04    0.80314E+01   -0.59946E+02
   500    0.23493E+04    0.79135E+01   -0.59041E+02
   501    0.23569E+04    0.78000E+01   -0.58113E+02
   502    0.23646E+04    0.76900E+01   -0.57162E+02
   503    0.23720E+04    0.75827E+01   -0.56190E+02
   504    0.23791E+04    0.74790E+01   -0.55197E+02
   505    0.23863E+04    0.73796E+01   -0.54186E+02
   506    0.23931E+04    0.72839E+01   -0.53154E+02
